MSG,8,,,7C6BDC,,,,,,,,,,,,,,,,,
MSG,4,,,7C6BDC,,,,,,,,161,194,,,0,,0,0,0,0
MSG,4,,,7C6BDC,,,,,,,,161,194,,,0,,0,0,0,0
MSG,8,,,7C6BDC,,,,,,,,,,,,,,,,,
MSG,4,,,7C6BDC,,,,,,,,161,194,,,0,,0,0,0,0
MSG,3,,,7C6BDC,,,,,,,6100,,,,,,,0,0,0,0
MSG,4,,,7C6BDC,,,,,,,,162,194,,,0,,0,0,0,0
MSG,8,,,7C6BDC,,,,,,,,,,,,,,,,,
MSG,3,,,7C6BDC,,,,,,,6100,,,,,,,0,0,0,0
MSG,3,,,7C6BDC,,,,,,,6100,,,-32.31903,115.73251,,,0,0,0,0
MSG,4,,,7C6BDC,,,,,,,,161,194,,,0,,0,0,0,0
MSG,8,,,7C6BDC,,,,,,,,,,,,,,,,,
MSG,5,,,7C6BDC,,,,,,,6100,,,,,,,,,,
MSG,3,,,7C6BDC,,,,,,,6100,,,-32.31940,115.73239,,,0,0,0,0
MSG,4,,,7C6BDC,,,,,,,,161,194,,,0,,0,0,0,0
MSG,3,,,7C6BDC,,,,,,,6100,,,-32.32201,115.73166,,,0,0,0,0
MSG,3,,,7C6BDC,,,,,,,6100,,,-32.32248,115.73149,,,0,0,0,0
MSG,8,,,7C6BDC,,,,,,,,,,,,,,,,,
MSG,3,,,7C6BDC,,,,,,,6100,,,-32.32283,115.73141,,,0,0,0,0
MSG,3,,,7C6BDC,,,,,,,6100,,,-32.32320,115.73130,,,0,0,0,0
MSG,4,,,7C6BDC,,,,,,,,161,194,,,0,,0,0,0,0
MSG,4,,,7C6BDC,,,,,,,,161,194,,,0,,0,0,0,0
MSG,4,,,7C6BDC,,,,,,,,161,194,,,0,,0,0,0,0
MSG,3,,,7C6BDC,,,,,,,6100,,,-32.32462,115.73091,,,0,0,0,0
MSG,4,,,7C6BDC,,,,,,,,161,194,,,0,,0,0,0,0
MSG,3,,,7C6BDC,,,,,,,6100,,,-32.32535,115.73069,,,0,0,0,0
MSG,6,,,7C6BDC,,,,,,,,,,,,,64,0,0,0,0
MSG,3,,,7C6BDC,,,,,,,6100,,,-32.32654,115.73036,,,0,0,0,0
MSG,3,,,7C6BDC,,,,,,,6100,,,-32.32896,115.72965,,,0,0,0,0
MSG,3,,,7C6BDC,,,,,,,6100,,,-32.32969,115.72942,,,0,0,0,0
MSG,3,,,7C6BDC,,,,,,,6100,,,-32.33016,115.72931,,,0,0,0,0
MSG,4,,,7C6BDC,,,,,,,,161,194,,,0,,0,0,0,0
MSG,8,,,7C6BDC,,,,,,,,,,,,,,,,,
MSG,3,,,7C6BDC,,,,,,,6100,,,-32.33121,115.72899,,,0,0,0,0
MSG,5,,,7C6BDC,,,,,,,6100,,,,,,,,,,
MSG,4,,,7C6BDC,,,,,,,,161,194,,,0,,0,0,0,0
MSG,8,,,7C6BDC,,,,,,,,,,,,,,,,,
MSG,4,,,7C6BDC,,,,,,,,161,194,,,0,,0,0,0,0
MSG,3,,,7C6BDC,,,,,,,6100,,,-32.33304,115.72847,,,0,0,0,0
MSG,8,,,7C6BDC,,,,,,,,,,,,,,,,,
MSG,3,,,7C6BDC,,,,,,,6100,,,-32.33342,115.72835,,,0,0,0,0
MSG,4,,,7C6BDC,,,,,,,,161,194,,,0,,0,0,0,0
MSG,5,,,7C6BDC,,,,,,,6100,,,,,,,,,,
